Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-27,67.0292,67.4657,66.3663,67.2564,502035.85587151
2021-04-28,67.2905,69.6626,67.2564,69.5053,1266000.5096732
2021-04-29,69.8367,72.7836,69.4182,70.7439,1470019.6939211
2021-04-30,71.2666,71.2666,69.6976,69.7847,706899.0055723
2021-05-04,70.1331,71.6151,69.4533,69.6274,1258330.2220675
2021-05-05,70.3253,70.778,69.6976,70.5346,449443.89258907
2021-05-06,72.5222,73.8649,71.1794,71.4058,931070.92688828
2021-05-07,72.7836,73.2201,71.1794,72.9758,676058.63739276
2021-05-10,73.2201,75.3468,73.2201,74.5628,942076.9935136
2021-05-11,74.1092,75.2948,72.1037,73.7077,1612134.3462214
2021-05-12,73.2371,75.1205,72.8887,73.3763,545817.39879926
2021-05-13,72.6264,73.847,71.2666,73.7778,563631.97300312
2021-05-14,74.1964,74.9804,72.8887,74.3005,484908.25618539
2021-05-17,74.8061,77.4916,74.667,77.4225,1086382.838441
2021-05-18,78.1194,79.2529,77.9802,79.1658,1666660.3042159
2021-05-19,78.9044,79.3399,77.788,78.4679,1722343.0961227
2021-05-20,78.4679,79.5492,78.1024,79.1658,1284061.1476832
2021-05-21,79.6014,80.2992,78.9044,79.9508,770075.05275361
2021-05-24,79.9508,79.9508,79.0085,79.3399,377485.26032526
2021-05-25,79.3399,80.3513,78.6601,80.2121,684906.91371764
2021-05-26,80.3863,80.3863,78.5901,79.375,970924.35620408
2021-05-27,79.0957,81.7461,79.0957,81.7461,1901308.3085746
2021-05-28,81.7461,83.264,81.5368,83.264,1459277.5056761
2021-05-31,82.8275,84.798,82.1305,83.6645,679689.47029768
2021-06-01,83.6825,84.9552,82.1305,84.3094,710228.10412664
2021-06-02,84.1352,84.9552,83.1589,84.798,643614.95753488
2021-06-04,84.7459,85.4257,84.013,84.9202,830033.34246934
2021-06-07,84.9722,85.8793,84.5537,85.4779,484985.08153665
2021-06-08,85.4087,85.4087,83.7867,84.6938,811223.37893185
2021-06-09,84.5716,84.9202,83.1068,83.5253,797068.586316
2021-06-10,83.7346,87.187,82.8625,86.385,1095910.2954074
2021-06-11,86.5242,87.0128,85.2866,85.5479,856393.34523661
2021-06-14,86.2107,87.6666,85.8793,87.6666,594463.43389555
2021-06-15,87.8849,88.5819,86.1577,86.402,1379203.2214516
2021-06-16,86.0536,87.3182,85.6,85.8793,1039190.9179641
2021-06-17,85.7923,86.7335,85.4429,86.2279,700491.32591335
2021-06-18,86.315,86.9949,85.583,86.6293,1610135.7736779
2021-06-21,86.1928,86.4892,84.798,85.8793,1031712.1370312
